offer_id,image_url,image_order
НФ-00004969,https://lmm.in.ua/image/catalog/4/9/6/4969/5429_2.jpg,2
НФ-00006987,https://lmm.in.ua/image/catalog/6/9/8/6987/7337_1.jpg,1
НФ-00007359,https://lmm.in.ua/image/catalog/7/3/5/7359/7577_1.jpg,1
НФ-00007359,https://lmm.in.ua/image/catalog/7/3/5/7359/7577_2.jpg,2
НФ-00007359,https://lmm.in.ua/image/catalog/7/3/5/7359/7577_3.jpg,3
НФ-00007359,https://lmm.in.ua/image/catalog/7/3/5/7359/7577_4.jpg,4
НФ-00007359,https://lmm.in.ua/image/catalog/7/3/5/7359/7577_5.jpg,5
НФ-00007983,https://lmm.in.ua/image/catalog/7/9/8/7983/8457.png,1
НФ-00000772,https://lmm.in.ua/image/catalog/0/7/7/0772/1.jpg,1
НФ-00000772,https://lmm.in.ua/image/catalog/0/7/7/0772/2.jpg,2
НФ-00000772,https://lmm.in.ua/image/catalog/0/7/7/0772/3.jpg,3
НФ-00000772,https://lmm.in.ua/image/catalog/0/7/7/0772/3655_1.jpg,4
НФ-00006986,https://lmm.in.ua/image/catalog/6/9/8/6986/7336_1.jpg,1
НФ-00007996,https://lmm.in.ua/image/catalog/7/9/9/7996/img_1148-kopiya.jpg,1
НФ-00006988,https://lmm.in.ua/image/catalog/6/9/8/6988/7338_1.jpg,1
НФ-00005365,https://lmm.in.ua/image/catalog/5/3/6/5365/8604hhuk.jpg,1
НФ-00005365,https://lmm.in.ua/image/catalog/5/3/6/5365/6804-3.jpg,2
НФ-00005364,https://lmm.in.ua/image/catalog/5/3/6/5364/6805_1.jpg,1
НФ-00005364,https://lmm.in.ua/image/catalog/5/3/6/5364/6805_2.jpg,2
НФ-00005364,https://lmm.in.ua/image/catalog/5/3/6/5364/6805_3.jpg,3
НФ-00005137,https://lmm.in.ua/image/catalog/5/1/3/5137/photo_2025-03-11_15-26-28.jpg,1
НФ-00000771,https://lmm.in.ua/image/catalog/0/7/7/0771/1.jpg,1
НФ-00000771,https://lmm.in.ua/image/catalog/0/7/7/0771/2.jpg,2
НФ-00000771,https://lmm.in.ua/image/catalog/0/7/7/0771/3.jpg,3
НФ-00000771,https://lmm.in.ua/image/catalog/0/7/7/0771/3656_1.jpg,4
НФ-00005138,https://lmm.in.ua/image/catalog/5/1/3/5138/photo_2025-03-11_15-23-28.jpg,1
НФ-00006990,https://lmm.in.ua/image/catalog/6/9/9/6990/7335_1.jpg,1
НФ-00007579,https://lmm.in.ua/image/catalog/7/5/7/7579/7882_1.jpg,1
НФ-00008051,https://lmm.in.ua/image/catalog/8/0/5/8051/photo_2024-10-26_13-09-02.jpg,1
НФ-00000811,https://lmm.in.ua/image/catalog/0/8/1/0811/3366_1.jpg,1
НФ-00008050,https://lmm.in.ua/image/catalog/8/0/5/8050/photo_2025-12-27_09-24-59.jpg,1
НФ-00000813,https://lmm.in.ua/image/catalog/0/8/1/0813/3360_1.jpg,1
НФ-00007838,https://lmm.in.ua/image/catalog/7/8/3/7838/8032_77.jpg,1
НФ-00007838,https://lmm.in.ua/image/catalog/7/8/3/7838/8082-1.jpeg,2
НФ-00007838,https://lmm.in.ua/image/catalog/7/8/3/7838/8082-2.jpeg,3
НФ-00007838,https://lmm.in.ua/image/catalog/7/8/3/7838/8082-3.jpeg,4
НФ-00000828,https://lmm.in.ua/image/catalog/0/8/2/0828/1.jpg,1
НФ-00000828,https://lmm.in.ua/image/catalog/0/8/2/0828/2.jpg,2
