offer_id,price,old_price,currency,availability
НФ-00004302,46.1,,UAH,true
НФ-00001711,224.28,,UAH,true
НФ-00001719,26.17,,UAH,true
НФ-00001732,125.23,,UAH,true
НФ-00004800,42.99,,UAH,true
НФ-00001714,125.23,,UAH,true
НФ-00001712,142.04,,UAH,true
НФ-00001727,132.08,,UAH,true
НФ-00004332,181.92,,UAH,true
НФ-00004334,251.08,,UAH,true
НФ-00004330,119,,UAH,true
НФ-00005042,138.94,,UAH,true
НФ-00001713,62.93,,UAH,true
НФ-00001717,62.93,,UAH,true
НФ-00001725,62.93,,UAH,true
НФ-00005965,125.23,,UAH,true
НФ-00004335,370.06,,UAH,true
НФ-00001736,165.1,,UAH,true
НФ-00006077,3566.05,,UAH,true
НФ-00001572,792.46,,UAH,true
НФ-00001561,1518.87,,UAH,true
НФ-00007634,1518.87,,UAH,true
НФ-00001569,1023.6,,UAH,true
НФ-00001563,1518.87,,UAH,true
НФ-00006080,924.53,,UAH,true
НФ-00001555,1518.87,,UAH,true
НФ-00007578,693.41,,UAH,true
НФ-00001739,82.87,,UAH,true
НФ-00008000,495.29,,UAH,true
НФ-00007658,924.53,,UAH,true
НФ-00001574,594.34,,UAH,true
НФ-00007531,1518.87,,UAH,true
НФ-00007705,462.27,,UAH,true
НФ-00007246,4226.43,,UAH,true
НФ-00002305,39.87,,UAH,true
НФ-00001545,2245.29,,UAH,true
НФ-00007881,726.42,,UAH,true
НФ-00005100,231.14,,UAH,true
НФ-00007000,36.13,,UAH,true
НФ-00001758,429.25,,UAH,true
НФ-00001770,178.18,,UAH,true
НФ-00001772,178.18,,UAH,true
НФ-00001776,594.34,,UAH,true
НФ-00000568,264.15,,UAH,true
НФ-00007952,594.34,,UAH,true
НФ-00003114,237.99,,UAH,true
НФ-00000569,805.55,,UAH,true
НФ-00004342,231.14,,UAH,true
НФ-00004344,105.91,,UAH,true
НФ-00003116,1122.65,,UAH,true
НФ-00001261,211.2,,UAH,true
НФ-00008009,350.13,,UAH,true
НФ-00004269,105.91,,UAH,true
НФ-00001260,211.2,,UAH,true
НФ-00004345,138.94,,UAH,true
НФ-00005283,92.2,,UAH,true
НФ-00008008,409.32,,UAH,true
НФ-00007240,462.27,,UAH,true
НФ-00004343,158.24,,UAH,true
НФ-00005144,195.01,,UAH,true
НФ-00001607,3433.98,,UAH,true
НФ-00005155,5745.31,,UAH,true
